Id,Name,Code,Country,Founded,National,Logo,CurrentLeagueRank,Points,GoalsDiff,Played,Win,Draw,Lose,GoalsFor,GoalsAgainst,LeagueId
536,Sevilla,"","",,0,https://media.api-sports.io/football/teams/536.png,14,22,-7,18,6,4,8,20,27,140
537,Leganes,"","",,0,https://media.api-sports.io/football/teams/537.png,15,18,-11,18,4,6,8,17,28,140
538,"Celta Vigo","","",,0,https://media.api-sports.io/football/teams/538.png,11,24,-1,18,7,3,8,27,28,140
540,Espanyol,"","",,0,https://media.api-sports.io/football/teams/540.png,18,15,-14,18,4,3,11,16,30,140
541,"Real Madrid","","",,0,https://media.api-sports.io/football/teams/541.png,2,40,23,18,12,4,2,41,18,140
542,Alaves,"","",,0,https://media.api-sports.io/football/teams/542.png,16,17,-9,18,4,5,9,21,30,140
543,"Real Betis","","",,0,https://media.api-sports.io/football/teams/543.png,9,25,-1,18,6,7,5,21,22,140
546,Getafe,"","",,0,https://media.api-sports.io/football/teams/546.png,17,16,-4,18,3,7,8,11,15,140
547,Girona,"","",,0,https://media.api-sports.io/football/teams/547.png,8,25,1,18,7,4,7,26,25,140
548,"Real Sociedad","","",,0,https://media.api-sports.io/football/teams/548.png,7,25,3,18,7,4,7,16,13,140
720,Valladolid,"","",,0,https://media.api-sports.io/football/teams/720.png,20,12,-25,18,3,3,12,12,37,140
727,Osasuna,"","",,0,https://media.api-sports.io/football/teams/727.png,10,25,-4,18,6,7,5,23,27,140
728,"Rayo Vallecano","","",,0,https://media.api-sports.io/football/teams/728.png,12,22,-1,18,5,7,6,20,21,140
798,Mallorca,"","",,0,https://media.api-sports.io/football/teams/798.png,6,30,-2,19,9,3,7,19,21,140
867,Lecce,"","",,0,https://media.api-sports.io/football/teams/867.png,14,16,-18,17,4,4,9,11,29,135
895,Como,"","",,0,https://media.api-sports.io/football/teams/895.png,15,15,-10,16,3,6,7,18,28,135
1063,"Saint Etienne","","",,0,https://media.api-sports.io/football/teams/1063.png,16,13,-22,15,4,1,10,12,34,61
1579,Monza,"","",,0,https://media.api-sports.io/football/teams/1579.png,20,10,-8,17,1,7,9,15,23,135
