Id,Age,BirthId,FirstName,Height,LastName,Name,Nationality,Number,Photo,Position,TeamId
405112,20,,"",,"","S. Fukuda","",13,https://media.api-sports.io/football/players/405112.png,Attacker,163
405298,17,,"",,"","N. Rizzo","",47,https://media.api-sports.io/football/players/405298.png,Defender,496
405360,17,,"",,"","H. Armstrong","",45,https://media.api-sports.io/football/players/405360.png,Midfielder,45
405379,19,,"",,"","M. Young","",,https://media.api-sports.io/football/players/405379.png,Defender,426
405507,20,,"",,"","Ismael Santana","",44,https://media.api-sports.io/football/players/405507.png,Attacker,532
405530,17,,"",,"","Ezra Mayers","",63,https://media.api-sports.io/football/players/405530.png,Defender,48
405681,20,,"",,"","Lucas García","",42,https://media.api-sports.io/football/players/405681.png,Goalkeeper,547
406244,19,,"",,"","J. Manzambi","",44,https://media.api-sports.io/football/players/406244.png,Midfielder,160
406266,20,,"",,"","A. Fadal","",28,https://media.api-sports.io/football/players/406266.png,Midfielder,532
406855,19,,"",,"","B. Viadère","",29,https://media.api-sports.io/football/players/406855.png,Attacker,108
407017,24,,"",,"","M. Lumpungu","",64,https://media.api-sports.io/football/players/407017.png,Defender,84
407032,18,,"",,"","A. Nallo","",65,https://media.api-sports.io/football/players/407032.png,Defender,40
407033,19,,"",,"","Ismeal Kabia","",46,https://media.api-sports.io/football/players/407033.png,Attacker,42
407337,19,,"",,"","K. Nwanege","",99,https://media.api-sports.io/football/players/407337.png,Defender,504
407378,18,,"",,"","G. Sambo","",28,https://media.api-sports.io/football/players/407378.png,Midfielder,206
407916,19,,"",,"","Filipe Bordon","",76,https://media.api-sports.io/football/players/407916.png,Defender,487
408540,21,,"",,"","K. Mutandwa","",80,https://media.api-sports.io/football/players/408540.png,Attacker,490
408625,18,,"",,"","D. Renzetti","",59,https://media.api-sports.io/football/players/408625.png,Goalkeeper,487
408634,20,,"",,"","J. Ajayi","",72,https://media.api-sports.io/football/players/408634.png,Attacker,504
408853,18,,"",,"","M. Rots","",39,https://media.api-sports.io/football/players/408853.png,Defender,415
408854,20,,"",,"","G. Besselink","",41,https://media.api-sports.io/football/players/408854.png,Midfielder,415
409047,18,,"",,"","G. Leoni","",46,https://media.api-sports.io/football/players/409047.png,Defender,523
409216,18,,"",,"","Senny Mayulu","",24,https://media.api-sports.io/football/players/409216.png,Midfielder,85
409411,20,,"",,"","Ali Jasim","",14,https://media.api-sports.io/football/players/409411.png,Midfielder,895
409840,20,,"",,"","J. Uneken","",38,https://media.api-sports.io/football/players/409840.png,Attacker,197
410281,18,,"",,"","P. Irie","",,https://media.api-sports.io/football/players/410281.png,Defender,106
